frame,detections,avg_conf,small_boxes,medium_boxes,large_boxes,deepsort_tracks,bytetrack_tracks,frame_time_ms,fps,gpu_memory_mb
45,37,0.27739468216896057,37,0,0,44,37,254.97746467590332,3.9219152220808207,619.56201171875
46,38,0.2622109651565552,38,0,0,33,38,232.07473754882812,4.308956720416852,619.56201171875
47,32,0.3043222427368164,32,0,0,33,32,158.097505569458,6.3252104857572435,619.56201171875
48,43,0.23654811084270477,43,0,0,38,43,215.0890827178955,4.649236434336235,619.56201171875
49,53,0.19691626727581024,53,0,0,49,53,305.5915832519531,3.272341434795092,619.56201171875
50,48,0.2261907011270523,48,0,0,48,48,311.3744258880615,3.211567543313586,619.56201171875
51,58,0.19985520839691162,58,0,0,44,58,520.1194286346436,1.9226353505483973,619.56201171875
52,60,0.212927907705307,60,0,0,52,60,377.561092376709,2.6485779922531236,619.56201171875
53,49,0.21757668256759644,49,0,0,56,49,318.54891777038574,3.1392352766390914,619.56201171875
54,61,0.21827226877212524,61,0,0,47,61,442.86656379699707,2.2580164811412224,619.56201171875
55,69,0.20223335921764374,69,0,0,56,69,719.1455364227295,1.3905391180960875,619.56201171875
56,55,0.22871875762939453,55,0,0,52,55,329.7097682952881,3.0329704975692438,619.56201171875
57,58,0.20719285309314728,58,0,0,52,58,1043.4722900390625,0.9583388169920304,619.56201171875
58,57,0.246977761387825,57,0,0,51,57,417.3731803894043,2.3959373696867914,619.56201171875
59,52,0.2839811146259308,52,0,0,49,52,343.7232971191406,2.9093169080517174,619.56201171875
60,58,0.26583340764045715,58,0,0,55,58,403.43260765075684,2.4787287418910844,619.56201171875
61,68,0.2308647334575653,68,0,0,59,68,1033.8335037231445,0.9672737403060552,619.56201171875
62,46,0.320544958114624,46,0,0,60,46,1114.896535873413,0.8969442166367457,619.56201171875
63,66,0.2303527295589447,66,0,0,49,66,986.1640930175781,1.014030025104732,619.56201171875
64,48,0.3164258301258087,48,0,0,53,48,628.0336380004883,1.5922713999583928,619.56201171875
65,55,0.26744532585144043,55,0,0,44,55,1109.537124633789,0.9012767376576583,619.56201171875
66,54,0.25659993290901184,54,0,0,48,54,495.35608291625977,2.0187498134933586,619.56201171875
67,43,0.3143422305583954,43,0,0,45,43,1063.2209777832031,0.9405382520621275,619.56201171875
68,47,0.3103400766849518,47,0,0,40,47,395.6000804901123,2.5278053501937903,619.56201171875
69,56,0.2881561815738678,56,0,0,47,56,366.4207458496094,2.7291031180053094,619.56201171875
70,46,0.34216150641441345,46,0,0,46,46,362.548828125,2.7582491582491584,619.56201171875
71,52,0.3081468939781189,52,0,0,44,52,414.86501693725586,2.410422569206986,619.56201171875
72,67,0.26866328716278076,67,0,0,57,67,715.6646251678467,1.3973025420467966,619.56201171875
73,51,0.3201770782470703,51,0,0,61,51,1026.3965129852295,0.974282343469332,619.56201171875
74,46,0.3468349277973175,46,0,0,47,46,386.2903118133545,2.588726585726991,619.56201171875
75,57,0.2632148563861847,57,0,0,47,57,505.7206153869629,1.9773763805037465,619.56201171875
76,66,0.2481572926044464,66,0,0,59,66,566.199779510498,1.7661610551394762,619.56201171875
77,66,0.2529546916484833,66,0,0,61,66,1028.7487506866455,0.9720546434030107,619.56201171875
78,59,0.25612232089042664,59,0,0,64,59,406.07523918151855,2.46259782304282,619.56201171875
79,78,0.22578425705432892,78,0,0,70,78,1003.868579864502,0.9961463283719627,619.56201171875
80,84,0.21805965900421143,84,0,0,76,84,1372.925043106079,0.7283718838266795,623.42822265625
81,87,0.19989612698554993,87,0,0,80,87,636.1227035522461,1.572023753303859,635.70947265625
82,75,0.23484794795513153,75,0,0,86,75,1175.9579181671143,0.8503705656054701,635.70947265625
83,79,0.2594282329082489,79,0,0,73,79,810.5883598327637,1.233671798847833,635.70947265625
84,79,0.2584832012653351,79,0,0,75,79,1570.117712020874,0.6368949234468004,635.70947265625
85,66,0.287717342376709,66,0,0,77,66,653.0303955078125,1.531322288945487,635.70947265625
86,69,0.2687376141548157,69,0,0,72,69,1247.464895248413,0.8016257642271093,635.70947265625
87,92,0.219057098031044,92,0,0,70,92,1079.6291828155518,0.9262439510870873,656.17822265625
88,87,0.23896032571792603,87,0,0,82,87,1386.888027191162,0.7210387431386808,656.17822265625
89,91,0.24373766779899597,91,0,0,93,91,871.0227012634277,1.1480757029058937,656.17822265625
90,87,0.24362625181674957,87,0,0,86,87,1078.5982608795166,0.9271292530961198,656.17822265625
91,88,0.23220138251781464,88,0,0,78,88,1528.217077255249,0.6543572996815661,656.17822265625
92,88,0.21415500342845917,88,0,0,75,88,1749.162197113037,0.5717022707502387,656.17822265625
93,88,0.2290443778038025,88,0,0,73,88,1668.8151359558105,0.5992275468110804,656.17822265625
94,87,0.22125796973705292,87,0,0,75,87,829.7898769378662,1.2051243667737332,656.17822265625
95,93,0.21020618081092834,93,0,0,69,93,1777.7953147888184,0.5624944512348367,656.17822265625
96,77,0.23726369440555573,77,0,0,69,77,1503.1611919403076,0.6652646471727905,656.17822265625
97,82,0.23421597480773926,82,0,0,73,82,834.2633247375488,1.198662305231493,656.17822265625
98,92,0.22618024051189423,92,0,0,74,92,1877.7146339416504,0.5325622871143235,656.17822265625
99,95,0.23367013037204742,95,0,0,82,95,1324.3277072906494,0.7551001119245861,656.17822265625
100,115,0.19164861738681793,115,0,0,97,115,1151.057243347168,0.868766523802146,656.17822265625
101,83,0.2384936511516571,83,0,0,97,83,616.6384220123291,1.621695898767732,656.17822265625
102,77,0.25260865688323975,77,0,0,78,77,624.5033740997314,1.6012723733343717,656.17822265625
103,71,0.27589085698127747,71,0,0,70,71,1130.591630935669,0.8844926608667779,656.17822265625
104,80,0.2644979655742645,80,0,0,74,80,802.7164936065674,1.2457698427336994,656.17822265625
105,66,0.26812994480133057,66,0,0,74,66,1380.2623748779297,0.7244999343609869,656.17822265625
106,69,0.25565674901008606,69,0,0,66,69,1182.168960571289,0.8459027713912781,656.17822265625
107,62,0.26942935585975647,62,0,0,63,62,637.9172801971436,1.5676013662632833,656.17822265625
108,63,0.27695363759994507,63,0,0,63,63,620.3098297119141,1.6120976197724008,656.17822265625
109,70,0.26489385962486267,70,0,0,79,70,1204.7967910766602,0.830015490916402,656.17822265625
110,64,0.2695918679237366,64,0,0,78,64,607.6438426971436,1.6457008690507067,656.17822265625
111,52,0.2859902083873749,52,0,0,70,52,1379.1236877441406,0.7250981249083752,656.17822265625
112,58,0.3045993745326996,58,0,0,62,58,1014.3113136291504,0.9858906102723578,656.17822265625
113,60,0.3007928133010864,60,0,0,66,60,1540.5199527740479,0.6491314820033834,656.17822265625
114,62,0.2907547652721405,62,0,0,65,62,1399.8384475708008,0.7143681485069527,656.17822265625
115,69,0.28230586647987366,69,0,0,66,69,714.9136066436768,1.3987704118470001,656.17822265625
116,90,0.258796751499176,90,0,0,92,90,1082.4966430664062,0.9237903936286429,656.17822265625
117,82,0.26004818081855774,82,0,0,97,82,819.4534778594971,1.2203255303914389,656.17822265625
118,76,0.2651434540748596,76,0,0,87,76,967.4398899078369,1.0336559515808934,656.17822265625
119,76,0.24884000420570374,76,0,0,81,76,1559.9792003631592,0.6410341879989185,656.17822265625
120,67,0.2779180109500885,67,0,0,81,67,1108.7934970855713,0.9018811912483871,656.17822265625
121,81,0.26579198241233826,81,0,0,83,81,1595.8333015441895,0.626631866268464,656.17822265625
122,83,0.2610322833061218,83,0,0,95,83,1278.1660556793213,0.7823709568538955,656.17822265625
123,96,0.25234314799308777,96,0,0,98,96,1539.6831035614014,0.6494842982214494,656.17822265625
124,86,0.25754162669181824,86,0,0,100,86,1573.864459991455,0.6353787288680687,656.17822265625
125,100,0.22396355867385864,100,0,0,98,100,2469.8290824890137,0.4048863166645655,656.17822265625
126,89,0.2697148621082306,89,0,0,93,89,2288.3057594299316,0.43700453747453855,656.17822265625
127,96,0.252894788980484,96,0,0,85,96,2265.1705741882324,0.4414678573856935,656.17822265625
128,101,0.24273739755153656,101,0,0,88,101,2821.338891983032,0.35444164571705555,656.17822265625
129,86,0.2536264955997467,86,0,0,83,86,1514.341115951538,0.6603531988046489,656.17822265625
130,87,0.25581857562065125,87,0,0,82,87,2281.2142372131348,0.43836303652990466,656.17822265625
131,98,0.24667541682720184,98,0,0,88,98,1581.4461708068848,0.6323326196362286,656.17822265625
132,106,0.23142872750759125,106,0,0,98,106,2428.2188415527344,0.41182449575283997,656.17822265625
133,107,0.24016587436199188,107,0,0,101,107,1967.7553176879883,0.5081932651946528,656.17822265625
134,100,0.2502775490283966,100,0,0,109,100,2075.8252143859863,0.48173612743007005,656.17822265625
135,96,0.24729816615581512,96,0,0,107,96,2059.01837348938,0.48566832276747424,656.17822265625
136,109,0.23526830971240997,109,0,0,97,109,2793.379783630371,0.35798927373218337,656.17822265625
137,106,0.2136368453502655,106,0,0,107,106,2979.16841506958,0.33566413867093997,656.17822265625
138,88,0.22710658609867096,88,0,0,103,88,1501.807451248169,0.6658643218003006,656.17822265625
139,94,0.21885226666927338,94,0,0,98,94,1045.9532737731934,0.9560656532892521,656.17822265625
140,81,0.24099451303482056,81,0,0,100,81,1890.4168605804443,0.5289838558110164,656.17822265625
141,96,0.22465747594833374,96,0,0,98,96,2459.4573974609375,0.4065937474795729,656.17822265625
142,99,0.22891443967819214,99,0,0,108,99,2333.082437515259,0.4286175164324685,656.17822265625
143,93,0.21357698738574982,93,0,0,105,93,985.605001449585,1.0146052409730506,656.17822265625
144,85,0.23969143629074097,85,0,0,86,85,1376.2829303741455,0.7265947850767486,656.17822265625
145,74,0.26643022894859314,74,0,0,80,74,901.0677337646484,1.109794483287082,656.17822265625
146,83,0.24423447251319885,83,0,0,75,83,1262.618064880371,0.7920051421842651,656.17822265625
147,81,0.22414876520633698,81,0,0,83,81,2463.3278846740723,0.40595488981456157,656.17822265625
148,83,0.21621310710906982,83,0,0,84,83,1767.153024673462,0.5658819502542979,656.17822265625
149,86,0.23008912801742554,86,0,0,82,86,1845.0212478637695,0.5419991781437938,656.17822265625
150,88,0.2035323530435562,88,0,0,92,88,2853.3637523651123,0.35046355347127206,656.17822265625
151,111,0.1929461807012558,111,0,0,113,111,2798.896074295044,0.3572837195292681,656.17822265625
152,95,0.21153125166893005,95,0,0,100,95,1624.9747276306152,0.6153941861348857,656.17822265625
153,96,0.2181355506181717,96,0,0,101,96,1525.641918182373,0.6554618014110316,656.17822265625
154,83,0.2281811237335205,83,0,0,105,83,1288.2294654846191,0.7762592199548937,656.17822265625
155,87,0.2333841174840927,87,0,0,93,87,1362.8792762756348,0.7337407042630499,656.17822265625
156,88,0.1995355635881424,88,0,0,99,88,1981.3971519470215,0.5046943763986685,656.17822265625
157,84,0.21739067137241364,84,0,0,94,84,1870.265007019043,0.5346835856132863,656.17822265625
158,77,0.2266647219657898,77,0,0,90,77,1218.8301086425781,0.8204588916118168,656.17822265625
159,99,0.21223817765712738,99,0,0,100,99,2770.723581314087,0.3609165514539434,656.17822265625
160,76,0.23332709074020386,76,0,0,93,76,1680.0241470336914,0.5952295398644326,656.17822265625
161,98,0.21258175373077393,98,0,0,95,98,2009.8514556884766,0.4975492080122155,656.17822265625
162,84,0.22032047808170319,84,0,0,107,84,1576.756238937378,0.634213441054103,656.17822265625
163,90,0.22941705584526062,90,0,0,102,90,2557.642936706543,0.3909849907695451,656.17822265625
164,85,0.22155079245567322,85,0,0,94,85,1644.2546844482422,0.6081782885937571,656.17822265625
165,80,0.21713602542877197,80,0,0,102,80,2109.1268062591553,0.47412986124511225,656.17822265625
166,95,0.19337168335914612,95,0,0,94,95,2229.437828063965,0.44854356888184505,656.17822265625
167,82,0.19734817743301392,82,0,0,91,82,1270.3733444213867,0.7871701688258164,656.17822265625
168,85,0.1946956366300583,85,0,0,102,85,2499.865770339966,0.4000214778987939,656.17822265625
169,82,0.2092042714357376,82,0,0,93,82,2904.1404724121094,0.34433596084607576,656.17822265625
170,73,0.24440506100654602,73,0,0,85,73,1348.121166229248,0.7417730876498604,656.17822265625
171,101,0.18834559619426727,101,0,0,101,101,1883.2650184631348,0.5309927122291392,656.17822265625
172,79,0.24195800721645355,79,0,0,100,79,1717.3259258270264,0.582300648328256,656.17822265625
173,69,0.240412175655365,69,0,0,83,69,996.3502883911133,1.0036630807973972,656.17822265625
174,79,0.20819157361984253,79,0,0,87,79,2312.302827835083,0.4324693063391961,656.17822265625
175,73,0.24621286988258362,73,0,0,88,73,2139.956474304199,0.46729922407657715,656.17822265625
176,91,0.2056276649236679,91,0,0,96,91,1808.0370426177979,0.5530860134105066,656.17822265625
177,91,0.21574488282203674,91,0,0,109,91,1937.5994205474854,0.516102549059104,656.17822265625
178,85,0.22618550062179565,85,0,0,93,85,3371.011734008789,0.29664684637890754,656.17822265625
179,92,0.23057305812835693,92,0,0,84,92,2487.8463745117188,0.401954079739456,656.17822265625
180,86,0.22250574827194214,86,0,0,101,86,1678.2774925231934,0.5958490204719111,656.17822265625
181,100,0.19553840160369873,100,0,0,105,100,3633.439540863037,0.27522131268557554,656.17822265625
182,87,0.22377121448516846,87,0,0,96,87,3127.0313262939453,0.31979212730982365,656.17822265625
183,101,0.20540329813957214,101,0,0,92,101,3153.6197662353516,0.3170959323335783,656.17822265625
184,94,0.21889713406562805,94,0,0,97,94,2894.097089767456,0.34553090963522276,656.17822265625
185,118,0.19822300970554352,118,0,0,111,118,3799.4720935821533,0.26319445843256534,663.61474609375
