frame,detections,avg_conf,small_boxes,medium_boxes,large_boxes,deepsort_tracks,bytetrack_tracks,frame_time_ms,fps,gpu_memory_mb
35,7,0.4215680956840515,7,0,0,5,7,21.76666259765625,45.94181563266737,137.9951171875
36,7,0.38397499918937683,7,0,0,6,7,22.200584411621094,45.04385927230551,137.9951171875
37,9,0.37479016184806824,9,0,0,7,9,25.274991989135742,39.56479987925781,137.9951171875
38,9,0.3646276295185089,9,0,0,9,9,25.85577964782715,38.6760721827252,137.9951171875
39,6,0.32929500937461853,6,0,0,8,6,22.156476974487305,45.13352917756185,137.9951171875
40,6,0.44203701615333557,6,0,0,6,6,20.859241485595703,47.94038175791519,137.9951171875
41,6,0.4301203787326813,6,0,0,5,6,22.292137145996094,44.85886631016043,137.9951171875
42,6,0.4177912771701813,6,0,0,5,6,21.609067916870117,46.276868759309316,137.9951171875
43,7,0.40295931696891785,7,0,0,6,7,23.193359375,43.11578947368421,137.9951171875
44,4,0.36410021781921387,4,0,0,6,4,19.997835159301758,50.00541268762593,137.9951171875
45,6,0.3059638440608978,6,0,0,7,6,21.824121475219727,45.82085932464468,137.9951171875
46,7,0.3806157410144806,7,0,0,5,7,23.168087005615234,43.162821330808654,137.9951171875
47,7,0.3691706657409668,7,0,0,6,7,23.21338653564453,43.078591676595046,137.9951171875
48,8,0.38209718465805054,8,0,0,6,8,46.95749282836914,21.29585588513054,137.9951171875
49,4,0.39979690313339233,4,0,0,5,4,41.98312759399414,23.81909250951218,137.9951171875
50,6,0.42804238200187683,6,0,0,3,6,44.86870765686035,22.287247665959946,137.9951171875
51,8,0.35328570008277893,8,0,0,6,8,53.960323333740234,18.53213506181349,137.9951171875
52,3,0.3654893934726715,3,0,0,5,3,75.94919204711914,13.166697012123533,137.9951171875
53,3,0.32644274830818176,3,0,0,2,3,27.350425720214844,36.56250217929495,137.9951171875
54,7,0.46946412324905396,7,0,0,4,7,24.33156967163086,41.098869226095985,137.9951171875
55,8,0.45987099409103394,8,0,0,6,8,26.302337646484375,38.01943437273386,137.9951171875
56,9,0.4079389274120331,9,0,0,10,9,27.3745059967041,36.530339583859536,137.9951171875
57,8,0.4173535108566284,8,0,0,11,8,49.24368858337402,20.30717090387958,137.9951171875
58,9,0.3794631361961365,9,0,0,9,9,53.351640701293945,18.74356602449804,137.9951171875
59,11,0.39582645893096924,11,0,0,7,11,56.707143783569336,17.634462490592693,137.9951171875
60,8,0.4012333154678345,8,0,0,8,8,26.360034942626953,37.93621678334328,137.9951171875
61,12,0.34215521812438965,12,0,0,6,12,57.076215744018555,17.52043275757639,137.9951171875
62,10,0.41760164499282837,10,0,0,9,10,44.4941520690918,22.474863628082435,137.9951171875
63,8,0.4729160666465759,8,0,0,10,8,49.256324768066406,20.30196131580476,137.9951171875
64,12,0.4553453028202057,12,0,0,11,12,39.38603401184082,25.3897104668971,137.9951171875
65,12,0.4459337890148163,12,0,0,12,12,32.75156021118164,30.532896556744557,137.9951171875
66,10,0.42808541655540466,10,0,0,11,10,29.454708099365234,33.95042981334283,137.9951171875
67,12,0.45050421357154846,12,0,0,11,12,32.38940238952637,30.874296103819624,137.9951171875
68,12,0.4334641695022583,12,0,0,11,12,31.884431838989258,31.363268602364414,137.9951171875
69,13,0.4517374336719513,13,0,0,12,13,50.64964294433594,19.74347580493316,141.9951171875
70,17,0.40487030148506165,17,0,0,12,17,92.02241897583008,10.866917117910718,157.9951171875
71,12,0.4212207794189453,12,0,0,12,12,43.98036003112793,22.737421869494273,157.9951171875
72,13,0.4289762079715729,13,0,0,11,13,39.971351623535156,25.01791806837974,157.9951171875
73,15,0.43813055753707886,15,0,0,11,15,87.28313446044922,11.456967101165827,157.9951171875
74,15,0.4383624196052551,15,0,0,13,15,75.80447196960449,13.191833859102303,157.9951171875
75,11,0.4787517786026001,11,0,0,15,11,41.29171371459961,24.217934060858017,157.9951171875
76,13,0.4027350842952728,13,0,0,11,13,42.22893714904785,23.680444441935173,157.9951171875
77,16,0.3872127830982208,16,0,0,15,16,86.18283271789551,11.603238933597435,157.9951171875
78,16,0.39678460359573364,16,0,0,14,16,89.13278579711914,11.21921626320717,157.9951171875
79,15,0.39627090096473694,15,0,0,14,15,80.69920539855957,12.391695742989922,157.9951171875
80,17,0.40066051483154297,17,0,0,13,17,153.60474586486816,6.510215516906863,157.9951171875
81,12,0.41324374079704285,12,0,0,14,12,35.819053649902344,27.918102185894192,157.9951171875
82,14,0.37881040573120117,14,0,0,14,14,53.502798080444336,18.69061125544212,157.9951171875
83,9,0.46109676361083984,9,0,0,13,9,40.99750518798828,24.391728116494917,157.9951171875
84,16,0.3809690773487091,16,0,0,12,16,47.986507415771484,20.839191136284594,157.9951171875
85,19,0.39870354533195496,19,0,0,14,19,77.19278335571289,12.954578867714735,165.9951171875
86,13,0.44932523369789124,13,0,0,14,13,50.19664764404297,19.921649092808966,165.9951171875
87,11,0.4376797676086426,11,0,0,14,11,46.00787162780762,21.73541102030875,165.9951171875
88,13,0.42135730385780334,13,0,0,12,13,47.235727310180664,21.170416058873112,165.9951171875
89,14,0.43177419900894165,14,0,0,12,14,49.894094467163086,20.042452131446783,165.9951171875
90,15,0.3941133916378021,15,0,0,12,15,50.455331802368164,19.819510927347903,165.9951171875
