frame,detections,avg_conf,small_boxes,medium_boxes,large_boxes,deepsort_tracks,bytetrack_tracks,frame_time_ms,fps,gpu_memory_mb
65,14,0.4720962643623352,14,0,0,11,14,93.57523918151855,10.686587699339844,349.39013671875
66,15,0.510694682598114,15,0,0,11,15,128.83496284484863,7.7618681910458145,349.39013671875
67,16,0.4850292503833771,16,0,0,13,16,153.87988090515137,6.498575344078808,349.39013671875
68,17,0.5129937529563904,17,0,0,11,17,194.3187713623047,5.146183217346067,349.39013671875
69,18,0.4945414364337921,18,0,0,12,18,48.42185974121094,20.651829676606138,353.39013671875
70,18,0.4986828565597534,18,0,0,12,18,49.24178123474121,20.30795748904544,353.39013671875
71,13,0.46378421783447266,13,0,0,12,13,44.92759704589844,22.25803438760348,353.39013671875
72,17,0.4375178813934326,17,0,0,11,17,131.39653205871582,7.610550935645244,353.39013671875
73,14,0.4778498113155365,14,0,0,12,14,46.50473594665527,21.503186280792598,353.39013671875
74,14,0.508543848991394,14,0,0,12,14,45.60256004333496,21.92859346163297,353.39013671875
75,14,0.4844570457935333,14,0,0,13,14,46.308279037475586,21.594410778917887,353.39013671875
76,17,0.4785134792327881,17,0,0,14,17,53.84492874145508,18.5718511171527,353.39013671875
77,19,0.44617754220962524,19,0,0,14,19,57.524681091308594,17.383842570334387,357.39013671875
78,19,0.43266943097114563,19,0,0,14,19,53.08985710144043,18.835989671045244,357.39013671875
79,17,0.42519909143447876,17,0,0,15,17,51.5592098236084,19.395176990127396,357.39013671875
80,17,0.42162224650382996,17,0,0,15,17,51.20134353637695,19.530737494994273,357.39013671875
81,14,0.4477638304233551,14,0,0,14,14,49.32594299316406,20.273307296701596,357.39013671875
82,13,0.4600589871406555,13,0,0,11,13,47.70493507385254,20.962191824638037,357.39013671875
83,18,0.41409361362457275,18,0,0,12,18,142.73762702941895,7.005861179084159,357.39013671875
84,18,0.42023634910583496,18,0,0,19,18,52.43730545043945,19.07039256517746,357.39013671875
85,19,0.4157359004020691,19,0,0,19,19,55.451393127441406,18.033812021669963,357.39013671875
86,15,0.4689060151576996,15,0,0,19,15,51.2697696685791,19.50467120223585,357.39013671875
87,14,0.49702882766723633,14,0,0,15,14,218.4593677520752,4.5775102724588965,357.39013671875
88,18,0.46061891317367554,18,0,0,14,18,67.0633316040039,14.911278281025583,357.39013671875
89,22,0.4444313943386078,22,0,0,15,22,82.67998695373535,12.094825324048042,369.95263671875
90,16,0.47101205587387085,16,0,0,17,16,73.73785972595215,13.561554454068979,369.95263671875
91,18,0.43606868386268616,18,0,0,16,18,70.6779956817627,14.148675133667291,369.95263671875
92,13,0.48574569821357727,13,0,0,14,13,64.01371955871582,15.621651216232825,369.95263671875
93,18,0.4208749830722809,18,0,0,13,18,110.61382293701172,9.040461431022441,369.95263671875
94,13,0.5028063058853149,13,0,0,15,13,65.18816947937012,15.340206788847885,369.95263671875
95,12,0.5110136270523071,12,0,0,11,12,62.964439392089844,15.881980521939324,369.95263671875
96,16,0.46211931109428406,16,0,0,13,16,67.63601303100586,14.78502287740671,369.95263671875
97,16,0.4453011751174927,16,0,0,14,16,71.04825973510742,14.07494010026913,369.95263671875
98,16,0.47758835554122925,16,0,0,13,16,70.8310604095459,14.11810008516024,369.95263671875
99,20,0.45992311835289,20,0,0,18,20,88.19866180419922,11.338040504741413,369.95263671875
